1_G137.1;10_G-56.47;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;4_G189.52;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;6_G-60.89;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;8_G43.28;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29
803.1630880491634;4175.180271570651;2599.118560556093;1124.8157570592994;755.4337870681211;877.6530013744035;828.6132383132041;780.1586181019824;1092.1366513141672;719.0116886709751;757.3425967558449;754.9715054022247;1530.7863386455872;761.0982213618008;693.2481484755984;802.7556594743993;710.2898957995461;2457.252622893887;3025.7061634084553;839.4360170878804;812.8126437043676;794.1399776900286;735.0559631077862;762.1054906805259;835.4433450470511;679.4566026075378;824.1487376034065;0.0;2442.5588558520885;1016.2417950147734;834.4937622870096;757.9320792171766;2018.4859234199282;785.3688116183564;2069.566292170893;703.1619217167198;3715.3059375218727;4300.324952533853;6490.517068463474;778.9600448993648;783.260036510666;731.5671389758072;748.0009940588874;773.6272302619366;753.3031894282738;705.30850419829;0.0;797.0450679792757;879.530033127644;6103.998164061473;751.5847062427714;732.4556452165184;763.7691471439234;760.346109771379
984.5425330427981;5557.6565806344215;3605.911604595002;1341.965319524925;975.5547032385986;1004.0458349014922;929.1237613443262;1059.0435489270626;1301.9360676474719;1004.8835665407199;1006.829817980116;922.0760712655434;1676.3342372661784;961.5745579314843;949.2732985530149;1008.832242120816;927.3934932416977;3171.330619942782;4324.877023355199;960.4335120116956;997.5226188893447;945.325875955261;1063.1567500178278;956.0510999205454;933.3768895646315;990.2466790904998;1114.7891012403702;0.0;2905.8512299140107;1418.4095712101166;981.432194364703;947.3037176889977;2344.2910846792024;1030.7740615541143;2809.7039025790427;915.8267811691104;4611.2579523619115;4949.344709808139;0.0;954.0298481894417;1006.7533600795535;1029.8633661824658;913.090799390626;957.0458966143872;979.816678844433;973.1438641107967;5621.442092151041;957.6533323063977;1048.4706242969035;0.0;872.0440485885601;0.0;947.4581030055599;908.4461773385787
754.642163802473;4312.033456829674;2981.6099696496703;1111.0256895593436;862.1272370745767;0.0;760.6195772211175;0.0;0.0;805.1251292170147;759.9709575739072;749.8595523503096;1464.8952212689999;820.5138527964638;828.5352809013461;885.6235006692023;0.0;2489.6404962751926;2816.5023993826912;793.7813928904694;819.4034301016341;741.7990040094104;0.0;840.4769754978493;729.4119029866796;789.4860698308541;788.0716415740844;0.0;2523.533941624999;1209.7271849725514;825.729473311251;806.4968165277173;2081.6831239566554;784.8609886256921;1964.5230912043892;755.2285685074128;0.0;3736.2360795557574;6786.231154466537;776.8910797208786;783.3765480511553;731.9770234261715;0.0;830.4746092200676;820.5855995872816;746.1098043940395;4728.410548690714;777.8919011489041;0.0;5923.52865141614;726.4822731674204;690.1435897635466;837.7333892476149;814.3807164222471
643.8783586895231;3939.434465136086;2423.447514229356;885.9802972041074;635.3288227762893;690.1744399577217;673.613387922128;746.8962369943617;911.6972258442825;0.0;770.6402261261744;676.2773251720096;1313.8276920434173;650.3810154919499;0.0;622.317638073636;682.4294301539693;2064.729729157478;2732.6675203603795;675.2589557770851;744.2876979974213;764.3718136723622;667.5359596098391;690.0266328458182;683.2043765930782;727.6378416737022;680.2841251056682;0.0;2162.593377479258;955.4064175893393;591.5421676600599;645.4779302776202;1801.1124890791418;703.4291360437904;0.0;0.0;3303.7458622250856;3365.3546310979787;5773.544833895786;721.2882399850865;607.8308111982016;688.9680785293455;685.921360147848;705.2379384255905;665.7333050425875;0.0;0.0;660.0754420540085;687.2212855357025;4658.814822525235;747.910115738691;694.9219615494584;685.2725482559644;0.0
748.7236483217874;4040.771770790747;2813.3937880655662;1124.5234271790569;0.0;763.9116669639194;0.0;686.9398892017717;1050.672495161818;772.4841190038019;723.6012833685544;795.569798984783;1316.3904276409041;796.6824046925578;710.7177746152056;841.8714314710716;754.3966495134297;2443.526647690382;3052.0256400795024;759.0511699464165;740.0029482266971;0.0;697.1936047433585;753.9005090541655;729.9116773793235;753.6704165614198;712.3325284112818;0.0;2344.077436751729;1160.3222715165189;795.5490775492203;784.3625778286865;1894.6555597805595;856.939805785699;2185.632508139864;0.0;0.0;0.0;6232.852993725372;0.0;777.0763692787299;747.0171014280236;768.1457125985654;765.9290292588875;769.4090425571575;758.5916191843215;4435.200500607122;813.6999880315293;753.2207361567654;5185.741073149882;788.5701468409659;809.2822718538612;738.737044913945;722.5734310055009
640.993215278515;3343.9202717793505;2097.1994621276503;817.1441281918636;0.0;610.7847116950962;595.0659211601022;571.5210829162329;0.0;614.2558670061521;611.4959801613511;594.6454819621978;1160.7242360804235;651.223267987885;639.984491795831;584.1289619505122;571.2848271557287;1993.7344917452526;2265.2794685552085;623.7462206462883;657.5664553321078;644.829518146851;602.7380678210922;0.0;594.66521120862;609.746248383016;610.204060289964;0.0;1867.9617010753814;803.13487561258;647.5701906986817;602.3715495196875;1526.8758879584095;604.130524092622;1585.5700471180105;632.9824955682751;3376.3602624671726;3138.4189253995132;5139.638799685089;608.6580041034606;638.7826159298006;572.6156857369423;602.7917841783393;573.9797661532898;629.7972511557622;630.7283745662261;3352.340928363241;627.960953266118;0.0;4188.706723711495;692.8220884147755;608.6631708528181;617.6723227282612;598.9968595157719
691.8252524859133;3718.3878941702455;2501.416678964322;963.2029677904382;783.6198669895601;719.0232034985717;713.6585446817786;668.8911573716169;1037.4331314363503;790.7794576290174;726.994529957935;742.890656815181;1303.9559363366293;729.0178437651963;730.9666372362036;713.6455932605105;690.2089215626087;2222.585855007635;3138.851417998646;821.9390855395147;0.0;730.8986501950268;801.3230159488548;721.0932567816182;776.7158485811992;767.6210880528175;733.0196515164854;0.0;2122.422842939536;1041.163489991289;735.7593346516292;740.840509212623;1914.807396419939;689.5538183513903;2022.048767426912;774.6224009877212;3879.8881214733346;3739.85322783221;5747.039300428978;700.8046265126623;814.4067550364267;714.9816761420543;717.750170699096;682.6171926529637;714.0240358125052;715.5581306281586;4088.6751705326624;711.150079870628;734.9544379599329;5458.3857416516;753.6702924581188;713.5936349077348;761.263793758689;739.5276595040657
0.0;4538.260839862334;2725.311329872482;1063.3995021087921;708.5951374701744;757.886120094916;753.0264645911218;796.2610715695395;0.0;755.0314206406626;726.3495598180477;745.1824489740753;1488.8498712326546;730.2271048067113;751.2258019683187;0.0;789.3603475905652;2423.9968882950925;3136.9056781621302;725.0892425356193;769.5404512080951;789.2376916539403;825.0029138824466;718.5078544804355;716.2784733260062;755.039243665001;813.9753438020451;0.0;2343.547890004322;1176.5735148511365;844.5341231785674;736.4848458611651;1929.3705533626232;721.5669973931764;1995.5741348001939;770.2627549175501;3966.7687091886196;3384.858480631445;6227.477461483883;750.3487973539973;781.4476879227065;761.818371319571;774.7720296087897;0.0;772.0945290175231;771.2700600944385;4425.283522992386;769.0755654736818;0.0;5479.086717317066;0.0;724.9661594843086;804.8886536499072;733.5544858267339
777.114533536604;4502.324431074515;2824.001916150933;1184.5074560992464;869.4290159309539;735.4185902674365;794.5468717161056;784.092932360392;0.0;834.1045236814957;775.0960940920864;779.4148417720381;1484.2773757194525;804.8857468180179;795.9736557666935;751.4099689423088;0.0;2411.881719596663;3005.3359566131444;746.2528768287443;780.771211294827;787.8577949915036;777.855025502588;746.8564446942273;734.4713217019354;788.8187546703851;677.2159297112923;0.0;2400.918787814344;1171.7519202399374;0.0;0.0;2120.21452764358;853.6658351627427;2288.2734242084466;0.0;3882.843758895585;4019.8811864550676;6461.17310044716;759.1724459532184;751.7380817202857;781.2015945237332;824.3194201160712;764.8904365586313;738.6136736392709;0.0;4048.0373318605034;760.2401333118281;762.4108876993777;5160.775484172694;753.71267982574;777.8445905950442;741.1426663766874;819.6754631246042
1230.2846955470413;5809.802881213448;4008.747764228543;1345.2348010368655;0.0;1154.9780852704869;1220.1015170852684;1053.90588575086;0.0;1079.1259592915333;1068.4972959205338;1127.773336216765;2138.541097332449;1161.064576881345;1106.08146971294;1186.3381030654418;1140.678544444308;3528.207989586229;4149.25565799901;1116.1757937867665;1287.8189146763968;1159.312133156659;1173.0665009890579;1050.0479136387519;1062.059889530484;1169.5429901828336;1127.3935954044157;0.0;3178.577589744212;0.0;1256.3116568578569;1117.8391887854375;2859.408333419624;1076.398360778496;2920.723998044181;1039.471741610413;5442.701576553035;5491.552706664961;8549.049119034982;1148.941280105051;1058.730155179662;1038.200701369467;1100.736353740418;1120.5154928465927;1175.1314074302513;1198.4025830692462;6651.801119225064;1132.034698442447;1194.2245508576466;7873.294235478968;1152.4960426398293;1207.313154968608;1039.579267526374;1128.7784110796185
