1_G137.1;13_G-56.47;2_G36.31;22_G63.29;23_G40.43;27_G-10.61
132.57000000000002;144.31500000000003;132.16500000000002;141.13927869049863;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.30421414703716;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.26454556649546;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.13088211124588;-1.0;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.54125028334954;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.2940567367258;138.51;137.16
132.57000000000002;144.11328759943927;132.16500000000002;-1.0;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.54179543862898;-1.0;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.91269084557018;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.59630085675144;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.57216444676203;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.6132951032235;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;139.58093870127033;138.51;-1.0
132.57000000000002;144.31500000000003;132.16500000000002;140.56793641187147;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.02190484688026;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.76486789924644;138.51;137.16
132.57000000000002;137.94536721022433;132.16500000000002;-1.0;-1.0;137.16
132.57000000000002;144.31500000000003;-1.0;140.89759153523042;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.76097229567472;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.63459153864068;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.19245033212894;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.44864715382687;-1.0;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.75329968530932;138.51;137.16
132.57000000000002;144.31500000000003;-1.0;140.95417698450254;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.11760219879315;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.217921659432;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.36242977601378;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;-1.0;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.34858084477477;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.37146655554042;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;141.1431698663899;138.51;137.16
132.57000000000002;144.31500000000003;132.16500000000002;140.91970125253832;138.51;137.16
